"book_id","source_row","author_surname_incoming","gender_incoming","book_title_incoming","genre_incoming","binding_incoming","notes_incoming","retail_price_incoming","royalty_rate_incoming","contract_terms_incoming","publisher_incoming","publication_year_incoming","author_id_incoming","raw_royalty_rate","raw_retail_price","raw_unlabeled","raw_publisher","author_surname_existing","gender_existing","book_title_existing","genre_existing","binding_existing","notes_existing","retail_price_existing","royalty_rate_existing","contract_terms_existing","publisher_existing","publication_year_existing","author_id_existing"
"HHB1874A",9,"Boyeson","Male","Gunnar","Novel","Cloth","Publisher note: transferred from J. R. Osgood",,,,"Scribner's",1874,"HHB","","","","Scribner [transferred from J. R. Osgood]","Boyesen","Male","Gunnar","Novel","Cloth",,1.5,0.125,,"J. R. Osgood & Co",1874,"HHB"
"HHB1877A",11,"Boyeson","Male","Tales from Two Hemisphers","Short Story Collection/Novella","Cloth","1880; Publisher note: transferred from J.R. Osgood; orig. pub 1877",,,,"Scribner's",1877,"HHB","","","","Scribner [transferred from J.R. Osgood; orig. pub 1877]","Boyesen","Male","Tales from Two Hemispheres","Short Story Collection/Novella","Cloth",,1.25,0.15,,"J. R. Osgood & Co",1877,"HHB"
"HJ1900A",128,"James","Male","The Sacred Fount","Novel","Cloth","1900",1.5,,,"Scribner's",1900,"HJ","","1.50","","Scribner","James","Male","The Soft Side","Short Story Collection/Novella","Cloth","$245 royalty advance  (1000 copies @ 15%; 67 copies @ 20%))",1.5,0.15,,"Macmillan (NY)",1900,"HJ"
"JCH1894A",122,"Harris","Male","Evening Tales","Short Story Collection/Novella","Cloth","1894",1,0.1,"10%translation from the French","Scribner's",1894,"JCH",".10","1.00","","Scribner","Harris","Male","Little Mr. Thimblefinger","Children's Literature/Juvenile","Cloth",,2,0.15,,"Houghton Mifflin",1894,"JCH"
"MES1897A",207,"Seawell","Female","The History of the Lady Betty Stair","Novel","Cloth","1897",1.25,0.15,"15%[100 bonus]","Scribner's",1897,"MES",".15","1.25","","Scribner","Seawell","Female","The Rock of the Lion","Novel","Cloth","10% to 1500; 12.5% to 3000; 15% thereafter",1.5,,,"Harper & Brothers",1897,"MES"
