"source_row","book_id","author_surname","gender","book_title","genre","binding","notes","retail_price","royalty_rate","contract_terms","publisher","publication_year","author_id","raw_royalty_rate","raw_retail_price","raw_unlabeled","raw_publisher"
95,"HF1894B","Frederic","Male","Marsena & Other Stories of the Wartime","Short Story Collection/Novella","Paper","1894",,0.1,,"Scribner's",1894,"HF",".10","","","Scribner"
98,"ACG1895A","Goodloe","Female","College Girls","Short Story Collection/Novella","Cloth","1895",1.25,0.1,"10%","Scribner's",1895,"ACG",".10","1.25","","Scribner"
101,"RG1890A","Grant","Male","Jack Hall","Novel","Cloth","1890",1.25,,"first published by Jordan Marsh Co. in 1888; 10% to 15% thereafter","Scribner's",1890,"RG","SS","1.25","","Scribner"
102,"RG1890B","Grant","Male","Jack in the Bush","Novel","Cloth",,1.25,,"first published by Jordan Marsh Co. in 1888; 10% to 15% thereafter","Scribner's",1890,"RG","SS","1.25","","Scribner"
103,"RG1895A","Grant","Male","The Bachelor’s Christmas","Short Story Collection/Novella","Cloth","1895",1.5,0.15,"15%","Scribner's",1895,"RG",".15","1.50","","Scribner"
104,"RG1900A","Grant","Male","Unleavened Bread","Novel","Cloth","1900",1.5,,,"Scribner's",1900,"RG","","1.50","","Scribner"
105,"RG1884A","Grant","Male","An Average Man","Novel","Cloth","1884",,,,"J. R. Osgood & Co",1884,"RG","","","","JR Osgood"
106,"RG1909A","Grant","Male","The Chippendales","Novel","Cloth","1909",,,,"Scribner's",1909,"RG","","","","Scribner"
107,"RG1880A","Grant","Male","The Confessions of a Frivolous Girl","Novel","Cloth","1880",,,,"J. R. Osgood & Co",1880,"RG","","","","JR Osgood"
108,"RG1886A","Grant","Male","Face to Face","Novel","Cloth","1886",1.25,0.15,"500 advance royalty","Scribner's",1886,"RG",".15","1.25","","Scribner"
109,"RG1915A","Grant","Male","The High Priestess","Novel","Cloth","1915",,,,"Scribner's",1915,"RG","","","","Scribner"
110,"RG1906A","Grant","Male","The Law-Breakers & Other Stories","Short Story Collection/Novella","Cloth","1906",,,,"Scribner's",1906,"RG","","","","Scribner"
111,"RG1894A","Grant","Male","The Opinions of a Philosopher","Novel","Cloth","1894",,,,"Scribner's",1894,"RG","","","","Scribner"
112,"RG1905A","Grant","Male","The Orchid","Novel","Cloth","1905",,,,"Scribner's",1905,"RG","","","","Scribner"
113,"RG1892A","Grant","Male","The Reflections of a Married Man","Novel","Cloth","1892",1,0.15,,"Scribner's",1892,"RG",".15","1.00","","Scribner"
114,"RG1892B","Grant","Male","The Reflections of a Married Man","Novel","Paper",,0.5,0.15,,"Scribner's",1892,"RG",".15",".50","","Scribner"
117,"MH1890A","Harland, Marion","Female","With the Best Intentions","Novel","Cloth","1890",1,,"pseud. of Mary Virginia Terhune","Scribner's",1890,"MH","","1.00","","Scribner"
120,"JCH1887A","Harris","Male","Free Joe","Short Story Collection/Novella","Cloth","1887",,0.15,,"Scribner's",1887,"JCH",".15","","","Scribner"
121,"JCH1887B","Harris","Male","Free Joe","Short Story Collection/Novella","Paper","1887",,0.1,,"Scribner's",1887,"JCH",".10","","","Scribner"
122,"JCH1894A","Harris","Male","Evening Tales","Short Story Collection/Novella","Cloth","1894",1,0.1,"10%translation from the French","Scribner's",1894,"JCH",".10","1.00","","Scribner"
124,"JH1896A","Hawthorne J","Male","A Fool of Nature","Novel","Cloth","1896",1.25,,,"Scribner's",1896,"JH","","1.25","","Scribner"
128,"HJ1900A","James","Male","The Sacred Fount","Novel","Cloth","1900",1.5,,,"Scribner's",1900,"HJ","","1.50","","Scribner"
131,"RJ1892A","Johnson","Male","End of a Rainbow","Novel","Cloth","1892",1.5,,,"Scribner's",1892,"RJ","","1.50","","Scribner"
132,"RJ1881A","Johnson","Male","Phaeton Rogers","Children's Literature/Juvenile","Cloth","1881",,,,"Scribner's",1881,"RJ","","","","Scribner"
136,"MK1911A","Kelly","Female","Her Little Young Ladyship","Novel","Cloth","1911",1.25,,,"Scribner's",1911,"MK","","1.25","","Scribner"
137,"MK1910A","Kelly","Female","Little Aliens","Novel","Cloth","1910",1.5,,,"Scribner's",1910,"MK","","1.50","","Scribner"
140,"FL1910A","Landis","Male","Angel of Lonesome Hill","Novel","Cloth","1910; Retail Price: .50 / .75",,,,"Scribner's",1910,"FL","",".50 / .75","","Scribner"
